timestamp,ticker,side,qty,price,value,regime,reason
2026-05-28T21:49:02,BTC/USD,buy,0.109079,73341.326,7999.9985,BULL,rebalance
2026-05-28T21:49:02,ETH/USD,buy,4.027633,1986.277,7999.9948,BULL,rebalance
2026-05-28T21:49:02,SOL/USD,buy,99.15649,80.6805,7999.9952,BULL,rebalance
2026-05-28T21:54:02,BTC/USD,buy,0.108913,73386.48,7992.7417,BULL,rebalance
2026-05-28T21:54:02,ETH/USD,buy,4.023333,1986.589,7992.7091,BULL,rebalance
2026-05-28T21:54:02,SOL/USD,buy,98.983988,80.7475,7992.7096,BULL,rebalance
2026-05-28T21:54:58,BTC/USD,buy,0.108883,73386.48,7990.5401,BULL,rebalance
2026-05-28T21:54:58,ETH/USD,buy,4.022256,1986.589,7990.5695,BULL,rebalance
2026-05-28T21:54:58,SOL/USD,buy,98.957486,80.7475,7990.5696,BULL,rebalance
2026-05-28T21:59:59,BTC/USD,buy,0.108766,73412.625,7984.7976,BULL,rebalance
2026-05-28T21:59:59,ETH/USD,buy,4.019353,1986.589,7984.8025,BULL,rebalance
2026-05-28T21:59:59,SOL/USD,buy,98.900567,80.73565,7984.8016,BULL,rebalance
2026-05-28T22:04:59,BTC/USD,buy,0.108797,73336.4,7978.7803,BULL,rebalance
2026-05-28T22:04:59,ETH/USD,buy,4.019696,1984.93,7978.8152,BULL,rebalance
2026-05-28T22:04:59,SOL/USD,buy,98.863349,80.7055,7978.816,BULL,rebalance
2026-05-28T22:09:59,BTC/USD,buy,0.10873,73371.665,7977.7011,BULL,rebalance
2026-05-28T22:09:59,ETH/USD,buy,4.018564,1985.221,7977.7376,BULL,rebalance
2026-05-28T22:09:59,SOL/USD,buy,98.813868,80.735,7977.7376,BULL,rebalance
2026-05-28T22:10:21,BTC/USD,buy,0.004383,73387.2975,321.6565,BULL,rebalance
2026-05-28T22:10:21,ETH/USD,buy,0.16202,1985.221,321.6455,BULL,rebalance
2026-05-28T22:10:21,SOL/USD,buy,3.983967,80.735,321.6456,BULL,rebalance
