timestamp,equity,cash,regime
2026-05-29T23:30:23,100000.0,100000.0,NEUTRAL
2026-05-29T23:32:24,99973.78,65856.73,NEUTRAL
2026-05-29T23:33:24,100030.21,63296.17,NEUTRAL
2026-05-29T23:34:24,99976.84,21379.21,NEUTRAL
2026-05-29T23:35:25,100051.17,-31122.93,NEUTRAL
2026-05-29T23:36:25,100089.9,-64727.85,NEUTRAL
2026-05-29T23:37:26,100086.66,-88752.79,NEUTRAL
2026-05-29T23:38:26,100270.93,-76234.97,NEUTRAL
2026-05-29T23:39:27,100161.76,39047.81,NEUTRAL
2026-05-29T23:40:27,100223.16,32367.92,NEUTRAL
2026-05-29T23:41:27,100319.92,32367.92,NEUTRAL
2026-05-29T23:42:28,100316.26,32367.92,NEUTRAL
2026-05-29T23:43:28,100359.53,32367.92,NEUTRAL
2026-05-29T23:44:28,100298.91,32367.92,NEUTRAL
2026-05-29T23:45:28,100348.85,32367.92,NEUTRAL
2026-05-29T23:46:29,100278.85,32367.92,NEUTRAL
2026-05-29T23:47:29,100288.03,32367.92,NEUTRAL
2026-05-29T23:48:29,100254.16,32367.92,NEUTRAL
2026-05-29T23:49:29,100250.36,32367.92,NEUTRAL
2026-05-29T23:50:30,100250.08,32367.92,NEUTRAL
2026-05-29T23:51:30,100233.79,32367.92,NEUTRAL
2026-05-29T23:52:30,100232.33,32367.92,NEUTRAL
2026-05-29T23:53:30,100252.74,32367.92,NEUTRAL
2026-05-29T23:54:31,100248.98,32367.92,NEUTRAL
2026-05-29T23:55:31,100249.12,32367.92,NEUTRAL
2026-05-29T23:56:32,100281.89,32367.92,NEUTRAL
2026-05-29T23:57:32,100257.75,32367.92,NEUTRAL
2026-05-29T23:58:33,100268.56,32367.92,NEUTRAL
2026-05-29T23:59:33,100247.53,32367.92,NEUTRAL
2026-05-30T00:00:34,100251.2,32584.6,NEUTRAL
2026-05-30T00:01:35,100239.36,31771.14,NEUTRAL
2026-05-30T00:02:36,100248.83,31771.14,NEUTRAL
2026-05-30T00:03:37,100279.99,31554.57,NEUTRAL
2026-05-30T00:04:37,100233.27,31771.27,NEUTRAL
2026-05-30T00:05:38,100196.55,31732.16,NEUTRAL
2026-05-30T00:06:39,100188.74,31732.16,NEUTRAL
2026-05-30T00:07:39,100222.04,31636.04,NEUTRAL
2026-05-30T00:08:40,100168.0,31636.04,NEUTRAL
2026-05-30T00:09:41,100116.83,31763.87,NEUTRAL
2026-05-30T00:10:42,100070.29,31941.98,NEUTRAL
2026-05-30T00:11:43,100058.55,31725.94,NEUTRAL
2026-05-30T00:12:44,100089.95,31758.42,NEUTRAL
2026-05-30T00:13:45,100034.95,31758.42,NEUTRAL
2026-05-30T00:14:45,99986.87,31758.42,NEUTRAL
2026-05-30T00:15:46,99961.79,31758.42,NEUTRAL
2026-05-30T00:16:47,99929.91,31758.42,NEUTRAL
2026-05-30T00:17:47,99897.96,31758.42,NEUTRAL
2026-05-30T00:18:48,99888.36,31758.42,NEUTRAL
2026-05-30T00:19:48,99899.94,31758.42,NEUTRAL
2026-05-30T00:20:49,99919.86,31758.42,NEUTRAL
2026-05-30T00:21:49,99920.95,31758.42,NEUTRAL
2026-05-30T00:22:50,99991.27,31758.42,NEUTRAL
2026-05-30T00:23:51,99918.06,31758.42,NEUTRAL
2026-05-30T00:24:51,99886.54,31758.42,NEUTRAL
2026-05-30T00:25:52,99867.0,31758.42,NEUTRAL
2026-05-30T00:26:53,99779.03,31758.42,NEUTRAL
2026-05-30T00:27:53,99857.65,31543.28,NEUTRAL
2026-05-30T00:28:54,99901.44,31724.36,NEUTRAL
2026-05-30T00:29:54,99914.59,31724.36,NEUTRAL
2026-05-30T00:30:55,99938.16,31540.4,NEUTRAL
2026-05-30T00:31:56,99938.89,31756.5,NEUTRAL
2026-05-30T00:32:57,99871.82,31756.5,NEUTRAL
2026-05-30T00:33:57,99937.39,31937.3,NEUTRAL
2026-05-30T00:34:58,99985.15,31937.3,NEUTRAL
2026-05-30T00:35:59,99965.34,31937.3,NEUTRAL
2026-05-30T00:36:59,99953.68,31937.3,NEUTRAL
2026-05-30T00:38:00,99876.51,31721.69,NEUTRAL
2026-05-30T00:39:01,99901.95,31721.69,NEUTRAL
2026-05-30T00:40:02,99843.32,31721.69,NEUTRAL
2026-05-30T00:41:03,99873.06,31721.69,NEUTRAL
2026-05-30T00:42:04,99854.83,31721.69,NEUTRAL
2026-05-30T00:43:04,99804.19,31721.69,NEUTRAL
2026-05-30T00:44:05,99784.45,31721.69,NEUTRAL
2026-05-30T00:45:06,99738.77,31721.69,NEUTRAL
2026-05-30T00:46:07,99741.57,31721.69,NEUTRAL
2026-05-30T00:47:07,99747.01,31721.69,NEUTRAL
2026-05-30T00:48:08,99749.44,31721.69,NEUTRAL
2026-05-30T00:49:09,99807.84,31721.69,NEUTRAL
2026-05-30T00:50:09,99771.92,31721.69,NEUTRAL
2026-05-30T00:51:10,99780.58,31721.69,NEUTRAL
2026-05-30T00:52:10,99876.81,31721.69,NEUTRAL
2026-05-30T00:53:11,99929.88,31721.69,NEUTRAL
2026-05-30T00:54:12,99906.7,31721.69,NEUTRAL
2026-05-30T00:55:13,99857.84,31721.69,NEUTRAL
2026-05-30T00:56:13,99898.8,31409.62,NEUTRAL
2026-05-30T00:57:14,99923.09,31409.62,NEUTRAL
2026-05-30T00:59:15,99884.34,31409.62,BEAR
2026-05-30T01:00:16,99892.74,71278.13,BEAR
2026-05-30T01:01:17,99886.98,71278.13,BEAR
2026-05-30T01:02:17,99895.62,71278.13,BEAR
