timestamp,equity,cash,regime
2026-05-29T07:46:26,100000.0,100000.0,NEUTRAL
2026-05-29T07:51:26,99948.1,75998.04,NEUTRAL
2026-05-29T07:56:26,99903.48,51995.12,NEUTRAL
2026-05-29T08:01:27,99874.58,28008.64,NEUTRAL
2026-05-29T08:06:27,99812.1,4007.31,NEUTRAL
2026-05-29T08:11:28,99656.72,4007.31,NEUTRAL
2026-05-29T08:21:28,99348.76,4007.31,NEUTRAL
2026-05-29T08:36:30,99244.8,4007.31,NEUTRAL
2026-05-29T08:41:30,99245.27,4007.31,NEUTRAL
2026-05-29T08:46:30,99193.73,4007.31,NEUTRAL
2026-05-29T08:51:31,99248.29,4007.31,NEUTRAL
2026-05-29T09:01:31,99226.85,4007.31,NEUTRAL
2026-05-29T09:06:32,99186.68,4007.31,NEUTRAL
2026-05-29T09:11:32,99141.76,4007.31,NEUTRAL
2026-05-29T09:16:32,99198.71,4007.31,NEUTRAL
2026-05-29T09:21:33,99202.44,4007.31,NEUTRAL
2026-05-29T09:26:33,99152.68,4007.31,NEUTRAL
2026-05-29T09:31:33,99157.4,4007.31,NEUTRAL
2026-05-29T09:36:34,99204.05,4007.31,NEUTRAL
2026-05-29T09:41:34,99204.14,4007.31,NEUTRAL
2026-05-29T09:46:35,99204.53,4007.31,NEUTRAL
2026-05-29T09:51:35,99154.85,4007.31,NEUTRAL
2026-05-29T09:56:36,99199.12,4007.31,NEUTRAL
2026-05-29T10:06:36,99204.28,4007.31,NEUTRAL
2026-05-29T10:11:37,99323.02,4007.31,NEUTRAL
2026-05-29T10:16:37,99287.61,4007.31,NEUTRAL
2026-05-29T10:21:37,99564.92,4007.31,NEUTRAL
2026-05-29T10:26:38,99597.84,4007.31,NEUTRAL
2026-05-29T10:31:38,99583.33,4007.31,NEUTRAL
2026-05-29T10:36:39,99534.04,4007.31,NEUTRAL
2026-05-29T10:41:39,99621.52,4007.31,NEUTRAL
2026-05-29T10:46:39,99612.87,4007.31,NEUTRAL
2026-05-29T10:51:39,99619.79,4007.31,NEUTRAL
2026-05-29T10:56:40,99547.86,4007.31,NEUTRAL
2026-05-29T11:01:40,99455.24,4007.31,NEUTRAL
2026-05-29T11:06:40,99614.63,4007.31,NEUTRAL
2026-05-29T11:11:40,99651.47,4007.31,NEUTRAL
2026-05-29T11:16:41,99623.23,4007.31,NEUTRAL
2026-05-29T11:21:41,99323.42,4007.31,NEUTRAL
2026-05-29T11:26:41,99345.21,4007.31,NEUTRAL
2026-05-29T11:31:41,99320.56,4007.31,NEUTRAL
2026-05-29T11:36:41,99241.71,4007.31,NEUTRAL
2026-05-29T11:41:42,99265.19,4007.31,NEUTRAL
2026-05-29T11:46:42,99288.2,4007.31,NEUTRAL
2026-05-29T11:56:42,99295.1,4007.31,NEUTRAL
2026-05-29T12:01:42,99300.32,4007.31,NEUTRAL
2026-05-29T12:06:43,99180.01,4007.31,NEUTRAL
2026-05-29T12:11:43,99230.49,4007.31,NEUTRAL
2026-05-29T12:16:43,99198.33,4007.31,NEUTRAL
2026-05-29T12:31:44,99014.51,4007.31,NEUTRAL
2026-05-29T12:36:44,99105.15,4007.31,NEUTRAL
2026-05-29T12:41:44,98967.57,4007.31,NEUTRAL
2026-05-29T12:46:45,98847.84,4007.31,NEUTRAL
2026-05-29T12:51:45,98893.57,4007.31,NEUTRAL
2026-05-29T12:56:45,98791.42,4007.31,NEUTRAL
2026-05-29T13:01:45,98685.3,4007.31,NEUTRAL
2026-05-29T13:06:45,98876.0,4007.31,NEUTRAL
2026-05-29T13:11:46,99015.05,4007.31,NEUTRAL
2026-05-29T13:16:46,99002.27,4007.31,NEUTRAL
2026-05-29T13:21:46,98997.44,4007.31,NEUTRAL
2026-05-29T13:26:46,98841.39,4007.31,NEUTRAL
2026-05-29T13:31:46,98839.83,4007.31,NEUTRAL
2026-05-29T13:36:47,98902.16,4007.31,NEUTRAL
2026-05-29T13:41:47,98938.98,4007.31,NEUTRAL
2026-05-29T13:46:47,98955.59,4007.31,NEUTRAL
2026-05-29T13:51:47,98920.59,4007.31,NEUTRAL
2026-05-29T13:56:48,98918.43,4007.31,NEUTRAL
2026-05-29T14:01:48,98930.92,4007.31,NEUTRAL
2026-05-29T14:06:48,98784.27,4007.31,NEUTRAL
2026-05-29T14:11:48,98734.36,4007.31,NEUTRAL
2026-05-29T14:16:49,98727.87,4007.31,NEUTRAL
2026-05-29T14:21:49,98723.43,4007.31,NEUTRAL
2026-05-29T14:26:49,98903.37,4007.31,NEUTRAL
2026-05-29T14:31:49,98984.24,4007.31,NEUTRAL
2026-05-29T14:36:50,98992.63,4007.31,NEUTRAL
2026-05-29T14:41:50,99019.14,4007.31,NEUTRAL
2026-05-29T14:51:50,99015.36,4007.31,NEUTRAL
2026-05-29T14:56:50,99021.75,4007.31,NEUTRAL
2026-05-29T15:01:51,99023.77,4007.31,NEUTRAL
2026-05-29T15:06:51,99227.96,4007.31,NEUTRAL
2026-05-29T15:11:51,99389.81,4007.31,NEUTRAL
2026-05-29T15:16:51,99374.01,4007.31,NEUTRAL
2026-05-29T15:21:52,99301.13,4007.31,NEUTRAL
2026-05-29T15:31:52,99339.5,4007.31,NEUTRAL
2026-05-29T15:36:52,99111.72,4007.31,NEUTRAL
2026-05-29T15:41:52,99101.92,4007.31,NEUTRAL
2026-05-29T15:46:53,99118.59,4007.31,NEUTRAL
2026-05-29T15:56:53,99176.62,4007.31,NEUTRAL
2026-05-29T16:01:54,99193.21,4007.31,NEUTRAL
2026-05-29T16:06:54,99195.72,4007.31,NEUTRAL
2026-05-29T16:11:54,99169.49,4007.31,NEUTRAL
2026-05-29T16:16:54,99466.17,4007.31,NEUTRAL
2026-05-29T16:21:55,99485.1,4007.31,NEUTRAL
2026-05-29T16:26:55,99418.45,4007.31,NEUTRAL
2026-05-29T16:31:55,99426.61,4007.31,NEUTRAL
2026-05-29T16:36:55,99433.65,4007.31,NEUTRAL
2026-05-29T16:41:56,99423.32,4007.31,NEUTRAL
2026-05-29T16:51:56,99507.15,4007.31,NEUTRAL
2026-05-29T16:56:56,99521.15,4007.31,NEUTRAL
2026-05-29T17:01:57,99577.24,4007.31,NEUTRAL
2026-05-29T17:06:57,99568.85,4007.31,NEUTRAL
2026-05-29T17:11:57,99543.88,4007.31,NEUTRAL
2026-05-29T17:16:57,99585.76,4007.31,NEUTRAL
2026-05-29T17:21:58,99524.08,4007.31,NEUTRAL
2026-05-29T17:26:58,99669.98,4007.31,NEUTRAL
2026-05-29T17:31:58,99209.45,4007.31,NEUTRAL
2026-05-29T17:36:58,99275.6,4007.31,NEUTRAL
2026-05-29T17:41:58,99218.78,4007.31,NEUTRAL
2026-05-29T17:46:59,99175.53,4007.31,NEUTRAL
2026-05-29T17:51:59,99173.84,4007.31,NEUTRAL
2026-05-29T17:56:59,99138.4,4007.31,NEUTRAL
2026-05-29T18:01:59,99241.4,4007.31,NEUTRAL
2026-05-29T18:07:00,99358.35,4007.31,NEUTRAL
2026-05-29T18:13:03,99378.66,4007.31,NEUTRAL
2026-05-29T18:18:04,99322.36,4007.31,NEUTRAL
2026-05-29T18:23:04,99390.54,4007.31,NEUTRAL
2026-05-29T18:28:04,99483.88,4007.31,NEUTRAL
2026-05-29T18:33:04,99479.63,4007.31,NEUTRAL
2026-05-29T18:38:04,99455.34,4007.31,NEUTRAL
2026-05-29T18:43:05,99436.45,4007.31,NEUTRAL
2026-05-29T18:53:05,99450.73,4007.31,NEUTRAL
2026-05-29T18:58:05,99381.14,4007.31,NEUTRAL
2026-05-29T19:03:06,99389.76,4007.31,NEUTRAL
2026-05-29T19:08:06,99407.3,4007.31,NEUTRAL
2026-05-29T19:13:06,99392.1,4007.31,NEUTRAL
2026-05-29T19:18:07,99478.39,4007.31,NEUTRAL
2026-05-29T19:23:07,99616.17,4007.31,NEUTRAL
2026-05-29T19:28:07,99650.64,4007.31,NEUTRAL
2026-05-29T19:33:07,99497.6,4007.31,NEUTRAL
2026-05-29T19:38:08,99578.8,4007.31,NEUTRAL
2026-05-29T19:43:08,99595.24,4007.31,NEUTRAL
2026-05-29T19:48:08,99608.45,4007.31,NEUTRAL
2026-05-29T19:53:08,99447.95,4007.31,NEUTRAL
2026-05-29T19:58:08,99489.7,4007.31,NEUTRAL
2026-05-29T20:03:09,99447.16,4007.31,NEUTRAL
2026-05-29T20:08:09,99538.55,4007.31,NEUTRAL
2026-05-29T20:13:09,99358.66,4007.31,NEUTRAL
2026-05-29T20:18:09,99433.76,4007.31,NEUTRAL
2026-05-29T20:23:10,99452.87,4007.31,NEUTRAL
2026-05-29T20:28:10,99393.36,4007.31,NEUTRAL
2026-05-29T20:33:10,99325.81,4007.31,NEUTRAL
2026-05-29T20:38:10,99402.25,4007.31,NEUTRAL
2026-05-29T20:43:10,99361.34,4007.31,NEUTRAL
2026-05-29T20:48:11,99358.82,4007.31,NEUTRAL
2026-05-29T20:53:11,99367.54,4007.31,NEUTRAL
2026-05-29T20:58:11,99379.37,4007.31,NEUTRAL
2026-05-29T21:03:11,99212.46,4007.31,NEUTRAL
2026-05-29T21:08:12,99256.51,4007.31,NEUTRAL
2026-05-29T21:13:12,99230.85,4007.31,NEUTRAL
2026-05-29T21:18:12,99200.7,4007.31,NEUTRAL
2026-05-29T21:23:12,99371.0,4007.31,NEUTRAL
2026-05-29T21:28:12,99380.44,4007.31,NEUTRAL
2026-05-29T21:38:24,100000.0,100000.0,NEUTRAL
2026-05-29T21:43:25,99854.18,58292.48,NEUTRAL
2026-05-29T21:48:25,99702.59,16636.94,NEUTRAL
2026-05-29T21:53:25,99533.73,1671.23,NEUTRAL
2026-05-29T21:58:25,99520.67,1671.23,NEUTRAL
2026-05-29T22:03:25,99569.98,1671.23,NEUTRAL
2026-05-29T22:08:26,99539.94,1671.23,NEUTRAL
2026-05-29T22:13:26,99454.39,1671.23,NEUTRAL
2026-05-29T22:18:26,99490.82,1671.23,NEUTRAL
2026-05-29T22:23:27,99535.05,1671.23,NEUTRAL
2026-05-29T22:28:27,99519.75,1671.23,NEUTRAL
2026-05-29T22:33:27,99465.46,1671.23,NEUTRAL
2026-05-29T22:38:28,99372.47,1671.23,NEUTRAL
2026-05-29T22:43:28,99249.24,1671.23,NEUTRAL
2026-05-29T22:53:28,99379.77,1671.23,NEUTRAL
2026-05-29T22:58:29,99361.12,1671.23,NEUTRAL
2026-05-29T23:03:29,99346.5,1671.23,NEUTRAL
2026-05-29T23:08:29,99275.61,1671.23,NEUTRAL
2026-05-29T23:13:29,98968.07,1671.23,NEUTRAL
2026-05-29T23:18:30,98971.1,1671.23,NEUTRAL
2026-05-29T23:23:30,99108.85,1671.23,NEUTRAL
2026-05-29T23:28:30,98861.99,1671.23,NEUTRAL
2026-05-29T23:33:30,98982.45,1671.23,NEUTRAL
2026-05-29T23:38:31,99130.94,1671.23,NEUTRAL
2026-05-29T23:43:31,99251.23,1671.23,NEUTRAL
2026-05-29T23:48:31,99377.97,1671.23,NEUTRAL
2026-05-29T23:53:32,99289.5,1671.23,NEUTRAL
2026-05-29T23:58:32,99312.09,1671.23,NEUTRAL
2026-05-30T00:03:32,99265.81,1671.23,BULL
2026-05-30T00:08:33,99292.75,1671.23,BULL
2026-05-30T00:13:34,99036.59,1671.23,BULL
2026-05-30T00:18:35,98869.18,1671.23,BULL
2026-05-30T00:23:35,98746.69,1671.23,BULL
2026-05-30T00:28:36,98444.9,1671.23,BULL
2026-05-30T00:33:36,98642.02,1671.23,BULL
2026-05-30T00:38:37,98606.09,1671.23,BULL
2026-05-30T00:43:37,98481.17,1671.23,BULL
2026-05-30T00:48:38,98594.47,1671.23,BULL
2026-05-30T00:53:38,99118.59,1671.23,BULL
